classical_mean,quantum_mean,mean_diff,ci_low,ci_high,cohens_d,nb_t_stat,nb_p_raw,wilcoxon_p_raw,modal_reps,modal_entanglement,arch_agreement_rate,classical_balanced_mean,quantum_balanced_mean,balanced_mean_diff,dataset,encoding,seed,nb_p_holm,significant
0.9573333333333334,0.7080000000000001,-0.24933333333333332,-0.3474234162370484,-0.1512432504296182,-2.8251570090058618,-5.246184861906118,2.2308003205573357e-05,1.1916199349573659e-05,1,linear,0.72,0.9517703349282297,0.6599999999999998,-0.2917703349282299,breast_cancer,pauli,42,0.001003860144250801,True
0.9626666666666667,0.7346666666666666,-0.228,-0.31401228300489076,-0.14198771699510926,-2.946196567017004,-5.470949678482918,1.2678288626943868e-05,1.1498406629788161e-05,1,linear,0.76,0.959043062200957,0.6894736842105263,-0.2695693779904307,breast_cancer,pauli,7,0.0005958795654663618,True
0.9533333333333333,0.7293333333333334,-0.22400000000000003,-0.28591950481933,-0.16208049518067008,-4.020757596122655,-7.466359415399466,1.0474088374401447e-07,1.1236857255517316e-05,1,linear,0.72,0.947846889952153,0.6875598086124401,-0.2602870813397129,breast_cancer,pauli,123,6.284453024640868e-06,True
0.9560000000000001,0.7320000000000002,-0.22400000000000006,-0.3211527457520216,-0.12684725424797852,-2.562596840916293,-4.7586228698539585,7.67142778583807e-05,1.1786366879006864e-05,1,linear,0.68,0.9530143540669858,0.686602870813397,-0.26641148325358877,breast_cancer,pauli,2024,0.003068571114335228,True
0.9586666666666668,0.7293333333333334,-0.22933333333333333,-0.3309739834052813,-0.1276926832613854,-2.507766501393082,-4.656805485452704,9.938521454322391e-05,1.1861963277364072e-05,1,linear,0.68,0.954354066985646,0.6814354066985646,-0.27291866028708134,breast_cancer,pauli,99,0.0038760233671857325,True
0.9630769230769232,0.9584615384615386,-0.004615384615384612,-0.030264078229787838,0.021033308999018615,-0.2,-0.3713906763541037,0.713605122017408,0.31731050786291415,1,none,1.0,0.962116883116883,0.9557662337662339,-0.006350649350649107,wine,z,42,1.0,False
0.9753846153846155,0.9446153846153846,-0.030769230769230774,-0.0716971550108417,0.010158693472380156,-0.8355727485873498,-1.5516196412045666,0.13384138983045535,0.001276973864920864,1,none,1.0,0.9751341991341992,0.9431255411255411,-0.03200865800865804,wine,z,7,1.0,False
0.9676923076923077,0.9553846153846153,-0.012307692307692308,-0.05078073272929717,0.02616534811391256,-0.35555555555555546,-0.6602500912961843,0.5153807559183139,0.1410710511633721,1,none,1.0,0.9670216450216451,0.9523376623376624,-0.014683982683982744,wine,z,123,1.0,False
0.9661538461538461,0.9507692307692307,-0.015384615384615384,-0.04297821627921546,0.012208985509984694,-0.6196773353931867,-1.150711923564922,0.2611871614097667,0.009747807101173898,1,none,1.0,0.9652424242424241,0.9477012987012986,-0.017541125541125524,wine,z,2024,1.0,False
0.9738461538461539,0.9476923076923077,-0.026153846153846142,-0.06655751184581693,0.014249819538124642,-0.7194525281757699,-1.3359898052193453,0.19408354098496794,0.007583527623004733,1,none,1.0,0.972034632034632,0.9446060606060607,-0.027428571428571358,wine,z,99,1.0,False
0.9630769230769232,0.7323076923076922,-0.2307692307692308,-0.32555636260630877,-0.13598209893215285,-2.7059257008101842,-5.024777880939232,3.9039159055009875e-05,1.1711158943852117e-05,1,full,0.48,0.962116883116883,0.7275194805194807,-0.23459740259740236,wine,zz,42,0.0016786838393654246,True
0.9753846153846155,0.7476923076923078,-0.2276923076923077,-0.3191433459842261,-0.13624126940038925,-2.767241521315153,-5.138638501181968,2.926669725122899e-05,1.1403689743179282e-05,1,full,0.68,0.9751341991341992,0.7440476190476191,-0.23108658008658012,wine,zz,7,0.0012877346790540756,True
0.9676923076923077,0.7323076923076922,-0.23538461538461544,-0.32204785313338524,-0.14872137763584564,-3.01877337684198,-5.605721430925524,9.050818348566025e-06,1.1861963277364072e-05,1,full,0.48,0.9670216450216451,0.7281948051948052,-0.23882683982683994,wine,zz,123,0.00045254091742830127,True
0.9661538461538461,0.7569230769230768,-0.20923076923076928,-0.28538110913465214,-0.1330804293268864,-3.053803249345689,-5.670770271134275,7.696083306640844e-06,1.1519540664091129e-05,1,full,0.68,0.9652424242424241,0.750121212121212,-0.21512121212121216,wine,zz,2024,0.00039250024863868305,True
0.9738461538461539,0.7507692307692309,-0.2230769230769231,-0.30305077634645106,-0.14310306980739512,-3.1002304061841226,-5.756983337031395,6.211342712614254e-06,1.130960265310373e-05,1,full,0.68,0.972034632034632,0.7442770562770562,-0.22775757575757583,wine,zz,99,0.0003229898210559412,True
0.9630769230769232,0.6523076923076924,-0.31076923076923074,-0.4189980733673294,-0.20254038817113207,-3.191408122354791,-5.926296105416631,4.085444991641651e-06,1.187279455938429e-05,1,linear,0.84,0.962116883116883,0.6452467532467533,-0.31687012987012975,wine,pauli,42,0.0002226186714437972,True
0.9753846153846155,0.6476923076923078,-0.32769230769230767,-0.4241673658652868,-0.2312172495193285,-3.77518766219863,-7.010347496138085,3.007139901534117e-07,1.1625680814681887e-05,1,linear,0.84,0.9751341991341992,0.6413506493506493,-0.33378354978354985,wine,pauli,7,1.744141142889788e-05,True
